id,currency,customer,total,date
in_1OMy8KIo6jaRQtI8Fnf7FUXo,sek,cus_PBJZUz0V1hSeN4,"700,00",2022-02-17
in_1OMyUSIo6jaRQtI8XmZg6qij,sek,cus_PBJZ0mcbg0IMh6,"400,00",2022-02-19
in_1OMyAfIo6jaRQtI84hU7TrZQ,sek,cus_PBJZ9ITSVHu9E9,"550,00",2022-02-20
in_1OMyVDIo6jaRQtI8ZqSHu2Rt,sek,cus_PBJZy1g5fHqeP7,"300,00",2022-02-21
in_1OMye6Io6jaRQtI8uvgr2YEt,sek,cus_PBJZTcFMLxaoEX,"100,00",2022-02-22
in_1OMyf1Io6jaRQtI8G3D1zzCS,sek,cus_PBJZdcMynyxMsi,"700,00",2022-02-22
in_1OMy5iIo6jaRQtI8KAr2194w,sek,cus_PBJZUz0V1hSeN4,"750,00",2022-02-26
in_1OMxM2Io6jaRQtI8RYdTgCC1,sek,cus_PBJZuwcBwFLsZD,"350,00",2022-02-27
in_1OMyBnIo6jaRQtI802DgVg4N,sek,cus_PBJZ9ITSVHu9E9,"750,00",2022-02-28
in_1OMyT3Io6jaRQtI81fAKVjFY,sek,cus_PBJZv60BNrMCHK,"100,00",2022-03-02
in_1OMyUjIo6jaRQtI8TxrdkfsZ,sek,cus_PBJZNTiqbJhl8q,"250,00",2022-03-02
in_1OMy5IIo6jaRQtI8wNxaGxQL,sek,cus_PBJZUz0V1hSeN4,"350,00",2022-03-03
in_1OMy7XIo6jaRQtI8Q1e8d26d,sek,cus_PBJZUz0V1hSeN4,"300,00",2022-03-04
in_1OMyfEIo6jaRQtI805RA82Xe,sek,cus_PBJZy1g5fHqeP7,"750,00",2022-03-06
in_1OMxNRIo6jaRQtI8onVJD9Hk,sek,cus_PBJZuwcBwFLsZD,"300,00",2022-03-07
in_1OMyULIo6jaRQtI8FXFmLNOZ,sek,cus_PBJZ0mcbg0IMh6,"200,00",2022-03-08
in_1OMy7tIo6jaRQtI87JCwiwQ1,sek,cus_PBJZUz0V1hSeN4,"500,00",2022-03-09
in_1OMxMYIo6jaRQtI8CP0yHv5u,sek,cus_PBJZUz0V1hSeN4,"500,00",2022-03-09
in_1OMy8uIo6jaRQtI8MC0JrkxD,sek,cus_PBJZUz0V1hSeN4,"500,00",2022-03-09
in_1OMy6uIo6jaRQtI8DpcfAknT,sek,cus_PBJZUz0V1hSeN4,"550,00",2022-03-10
in_1OMyVWIo6jaRQtI8YAUespHi,sek,cus_PBJZv60BNrMCHK,"100,00",2022-03-11
in_1OMy7SIo6jaRQtI8Z72jnGaV,sek,cus_PBJZUz0V1hSeN4,"600,00",2022-03-11
in_1OMxNgIo6jaRQtI8xGVwGJ2U,sek,cus_PBJZv60BNrMCHK,"700,00",2022-03-12
in_1OMyAxIo6jaRQtI86PuOOy7V,sek,cus_PBJZ9ITSVHu9E9,"400,00",2022-03-13
in_1OMyBjIo6jaRQtI8tTsRghZP,sek,cus_PBJZ9ITSVHu9E9,"550,00",2022-03-14
in_1OMy6cIo6jaRQtI8N0rHNnL5,sek,cus_PBJZUz0V1hSeN4,"700,00",2022-03-16
in_1OMxMAIo6jaRQtI84IFnbH7Q,sek,cus_PBJZNTiqbJhl8q,"150,00",2022-03-17
in_1OMyCtIo6jaRQtI8mxtxTWv6,sek,cus_PBJZ9ITSVHu9E9,"550,00",2022-03-17
in_1OMyVTIo6jaRQtI8WAzGeJ4t,sek,cus_PBJZuwcBwFLsZD,"200,00",2022-03-18
in_1OMyeWIo6jaRQtI8vVg1zYh5,sek,cus_PBJZTcFMLxaoEX,"750,00",2022-03-21
in_1OMydMIo6jaRQtI89ZHWQUw0,sek,cus_PBJZTcFMLxaoEX,"400,00",2022-03-22
in_1OMyTLIo6jaRQtI8xGFzZeEK,sek,cus_PBJZv60BNrMCHK,"550,00",2022-03-25
in_1OMy8PIo6jaRQtI8WR6JAvVy,sek,cus_PBJZUz0V1hSeN4,"900,00",2022-03-26
in_1OMy6gIo6jaRQtI8KLFzfODL,sek,cus_PBJZUz0V1hSeN4,"600,00",2022-03-26
in_1OMyEzIo6jaRQtI88HbcR2tR,sek,cus_PBJZ9ITSVHu9E9,"550,00",2022-03-27
in_1OMyG8Io6jaRQtI8CnVEZbxP,sek,cus_PBJZ9ITSVHu9E9,"300,00",2022-03-28
in_1OMye2Io6jaRQtI8TPOcQ2R8,sek,cus_PBJZTcFMLxaoEX,"450,00",2022-03-28
in_1OMxMyIo6jaRQtI8syJBvSfv,sek,cus_PBJZy1g5fHqeP7,"350,00",2022-03-31
in_1OMxNDIo6jaRQtI8GamsWcOt,sek,cus_PBJZUz0V1hSeN4,"150,00",2022-04-01
in_1OMy9LIo6jaRQtI8sAJ7sjsf,sek,cus_PBJZUz0V1hSeN4,"450,00",2022-04-02
in_1OMyDtIo6jaRQtI8NG7TlQBZ,sek,cus_PBJZ9ITSVHu9E9,"750,00",2022-04-05
in_1OMyEuIo6jaRQtI8Cu8bOkKp,sek,cus_PBJZ9ITSVHu9E9,"350,00",2022-04-05
in_1OMxMuIo6jaRQtI8vMjRqPny,sek,cus_PBJZv60BNrMCHK,"450,00",2022-04-05
in_1OMyB6Io6jaRQtI8PP292jQx,sek,cus_PBJZ9ITSVHu9E9,"700,00",2022-04-06
in_1OMy5dIo6jaRQtI83tRr6qsR,sek,cus_PBJZUz0V1hSeN4,"550,00",2022-04-07
in_1OMyFYIo6jaRQtI82k5edZPV,sek,cus_PBJZ9ITSVHu9E9,"600,00",2022-04-07
in_1OMxMrIo6jaRQtI8C0UZ97a7,sek,cus_PBJZv60BNrMCHK,"350,00",2022-04-08
in_1OMxNfIo6jaRQtI8tthBb6fV,sek,cus_PBJZTcFMLxaoEX,"300,00",2022-04-08
in_1OMyGGIo6jaRQtI8Rhi0cIqe,sek,cus_PBJZ9ITSVHu9E9,"300,00",2022-04-10
in_1OMy8TIo6jaRQtI8zaxsOJNB,sek,cus_PBJZUz0V1hSeN4,"550,00",2022-04-10
in_1OMyV9Io6jaRQtI8x96tsjCO,sek,cus_PBJZNTiqbJhl8q,"550,00",2022-04-12
in_1OMy5MIo6jaRQtI821JgcW3x,sek,cus_PBJZUz0V1hSeN4,"750,00",2022-04-16
in_1OMy7OIo6jaRQtI8nJqJwuwA,sek,cus_PBJZUz0V1hSeN4,"900,00",2022-04-17
in_1OMyAbIo6jaRQtI8hHbH7zhf,sek,cus_PBJZ9ITSVHu9E9,"450,00",2022-04-17
in_1OMy5ZIo6jaRQtI8vNboOtV5,sek,cus_PBJZUz0V1hSeN4,"300,00",2022-04-17
in_1OMyFUIo6jaRQtI8MZb4NXvO,sek,cus_PBJZ9ITSVHu9E9,"550,00",2022-04-19
in_1OMyTSIo6jaRQtI8SFsUEeXm,sek,cus_PBJZv60BNrMCHK,"450,00",2022-04-21
in_1OMxMoIo6jaRQtI8DYFaDdDp,sek,cus_PBJZ9ITSVHu9E9,"550,00",2022-04-22
in_1OMxMhIo6jaRQtI8bAZKGUDo,sek,cus_PBJZy1g5fHqeP7,"300,00",2022-04-22
in_1OMxJtIo6jaRQtI824kEIbQ9,sek,cus_PBJZy1g5fHqeP7,"300,00",2022-04-22
in_1OMyGOIo6jaRQtI8xUu4yDe5,sek,cus_PBJZ9ITSVHu9E9,"450,00",2022-04-23
in_1OMyBaIo6jaRQtI8DRa8vO6S,sek,cus_PBJZ9ITSVHu9E9,"550,00",2022-04-24
in_1OMyUHIo6jaRQtI816rdRM54,sek,cus_PBJZdcMynyxMsi,"450,00",2022-04-25
in_1OMyduIo6jaRQtI8yNiuGJjx,sek,cus_PBJZdcMynyxMsi,"450,00",2022-04-30
in_1OMy7BIo6jaRQtI8j1YF3fOM,sek,cus_PBJZUz0V1hSeN4,"350,00",2022-05-01
in_1OMyFPIo6jaRQtI8yeFm3jhl,sek,cus_PBJZ9ITSVHu9E9,"350,00",2022-05-02
in_1OMxMaIo6jaRQtI8xrZ8g8vm,sek,cus_PBJZdcMynyxMsi,"100,00",2022-05-03
in_1OMyV5Io6jaRQtI8OaKSEOKX,sek,cus_PBJZ9ITSVHu9E9,"400,00",2022-05-04
in_1OMy7xIo6jaRQtI8knk6zts7,sek,cus_PBJZUz0V1hSeN4,"350,00",2022-05-06
in_1OMyFHIo6jaRQtI8bMu8MVpu,sek,cus_PBJZ9ITSVHu9E9,"500,00",2022-05-07
in_1OMyDTIo6jaRQtI8kXcgbK1q,sek,cus_PBJZ9ITSVHu9E9,"550,00",2022-05-08
in_1OMyBEIo6jaRQtI80IYjS87I,sek,cus_PBJZ9ITSVHu9E9,"500,00",2022-05-09
in_1OMycrIo6jaRQtI8x4lEW93k,sek,cus_PBJZUz0V1hSeN4,"250,00",2022-05-09
in_1OMxNZIo6jaRQtI89zHCtdlZ,sek,cus_PBJZ0mcbg0IMh6,"200,00",2022-05-11
in_1OMyFLIo6jaRQtI8F5wt6QQ1,sek,cus_PBJZ9ITSVHu9E9,"500,00",2022-05-15
in_1OMyGZIo6jaRQtI8HuyXaCwK,sek,cus_PBJZ9ITSVHu9E9,"400,00",2022-05-17
in_1OMyDPIo6jaRQtI8Q03eEg40,sek,cus_PBJZ9ITSVHu9E9,"300,00",2022-05-17
in_1OMyTPIo6jaRQtI8rT0u2iPS,sek,cus_PBJZTcFMLxaoEX,"100,00",2022-05-18
in_1OMyd7Io6jaRQtI8vgISjatX,sek,cus_PBJZy1g5fHqeP7,"600,00",2022-05-18
in_1OMyeKIo6jaRQtI80POUGHnu,sek,cus_PBJZx8WmYaBVWS,"600,00",2022-05-19
in_1OMyebIo6jaRQtI82EdKiNmh,sek,cus_PBJZv60BNrMCHK,"300,00",2022-05-20
in_1OMydQIo6jaRQtI8ONxtnhGf,sek,cus_PBJZv60BNrMCHK,"150,00",2022-05-20
in_1OMxMTIo6jaRQtI88ZVernEb,sek,cus_PBJZNTiqbJhl8q,"150,00",2022-05-21
in_1OMyTyIo6jaRQtI8cuCs41FS,sek,cus_PBJZ0mcbg0IMh6,"450,00",2022-05-21
in_1OMy9CIo6jaRQtI87irJAK36,sek,cus_PBJZUz0V1hSeN4,"600,00",2022-05-22
in_1OMyVdIo6jaRQtI8XNadYhEU,sek,cus_PBJZy1g5fHqeP7,"750,00",2022-05-22
in_1OMyAXIo6jaRQtI8cqmJxImI,sek,cus_PBJZ9ITSVHu9E9,"900,00",2022-05-23
in_1OMyCHIo6jaRQtI82E0J4gSS,sek,cus_PBJZ9ITSVHu9E9,"500,00",2022-05-23
in_1OMyfJIo6jaRQtI8VhKiLYPH,sek,cus_PBJZ9ITSVHu9E9,"300,00",2022-05-25
in_1OMydXIo6jaRQtI82KTGKWeY,sek,cus_PBJZdcMynyxMsi,"400,00",2022-05-26
in_1OMyG1Io6jaRQtI8dUVjdMuH,sek,cus_PBJZ9ITSVHu9E9,"450,00",2022-05-29
in_1OMyUyIo6jaRQtI8tYMCjlCX,sek,cus_PBJZy1g5fHqeP7,"350,00",2022-05-31
in_1OMxMiIo6jaRQtI8YZxzJYI5,sek,cus_PBJZUz0V1hSeN4,"450,00",2022-06-02
in_1OMyUPIo6jaRQtI8sLXNNzRY,sek,cus_PBJZUz0V1hSeN4,"400,00",2022-06-03
in_1OMy86Io6jaRQtI8j8NVqRu1,sek,cus_PBJZUz0V1hSeN4,"550,00",2022-06-04
in_1OMyTuIo6jaRQtI8LuSfDbM7,sek,cus_PBJZUz0V1hSeN4,"700,00",2022-06-05
in_1OMyBJIo6jaRQtI8EuJCqGZi,sek,cus_PBJZ9ITSVHu9E9,"450,00",2022-06-06
in_1OMyERIo6jaRQtI8Pq4hItGn,sek,cus_PBJZ9ITSVHu9E9,"350,00",2022-06-07
in_1OMy7FIo6jaRQtI8HnWXU1yD,sek,cus_PBJZUz0V1hSeN4,"750,00",2022-06-07
in_1OMyBAIo6jaRQtI8hx6v72Oo,sek,cus_PBJZ9ITSVHu9E9,"550,00",2022-06-09
in_1OMyd3Io6jaRQtI8FZIxEw7N,sek,cus_PBJZNTiqbJhl8q,"550,00",2022-06-13
in_1OMyEiIo6jaRQtI8BHs0nTK0,sek,cus_PBJZ9ITSVHu9E9,"400,00",2022-06-14
in_1OMxMJIo6jaRQtI8qsgTOfue,sek,cus_PBJZy1g5fHqeP7,"900,00",2022-06-14
in_1OMy8gIo6jaRQtI8UkJUatZS,sek,cus_PBJZUz0V1hSeN4,"550,00",2022-06-15
in_1OMycnIo6jaRQtI8jmXZjIPJ,sek,cus_PBJZy1g5fHqeP7,"400,00",2022-06-16
in_1OMyCUIo6jaRQtI8B0ENCWfz,sek,cus_PBJZ9ITSVHu9E9,"750,00",2022-06-16
in_1OMy9kIo6jaRQtI8Lk5nlIrS,sek,cus_PBJZUz0V1hSeN4,"350,00",2022-06-17
in_1OMyEEIo6jaRQtI8ZXeKckKA,sek,cus_PBJZ9ITSVHu9E9,"350,00",2022-06-17
in_1OMy7KIo6jaRQtI8YmmcO5ic,sek,cus_PBJZUz0V1hSeN4,"500,00",2022-06-19
in_1OMxNlIo6jaRQtI8xpbHPfm9,sek,cus_PBJZ9ITSVHu9E9,"150,00",2022-06-19
in_1OMyBSIo6jaRQtI8uj3KxwY6,sek,cus_PBJZ9ITSVHu9E9,"600,00",2022-06-19
in_1OMyCPIo6jaRQtI8eX2788CQ,sek,cus_PBJZ9ITSVHu9E9,"600,00",2022-06-20
in_1OMyFfIo6jaRQtI88CcAlws0,sek,cus_PBJZ9ITSVHu9E9,"400,00",2022-06-20
in_1OMy6pIo6jaRQtI8u2hE3SWN,sek,cus_PBJZUz0V1hSeN4,"350,00",2022-06-22
in_1OMyfRIo6jaRQtI8n8i55wwT,sek,cus_PBJZv60BNrMCHK,"400,00",2022-06-24
in_1OMyT6Io6jaRQtI8HYV87MGT,sek,cus_PBJZv60BNrMCHK,"300,00",2022-06-25
in_1OMyUgIo6jaRQtI8f5fwm4W8,sek,cus_PBJZy1g5fHqeP7,"100,00",2022-06-25
in_1OMyCLIo6jaRQtI8HGP717IK,sek,cus_PBJZ9ITSVHu9E9,"700,00",2022-06-26
in_1OMySvIo6jaRQtI8WlxM4lwq,sek,cus_PBJZNTiqbJhl8q,"300,00",2022-06-27
in_1OMy9oIo6jaRQtI8gEN04zqg,sek,cus_PBJZUz0V1hSeN4,"700,00",2022-06-28
in_1OMyDcIo6jaRQtI8lZxS7AAc,sek,cus_PBJZ9ITSVHu9E9,"500,00",2022-07-03
in_1OMyGdIo6jaRQtI8A9q8h79X,sek,cus_PBJZ9ITSVHu9E9,"600,00",2022-07-03
in_1OMyGCIo6jaRQtI87cUO53Is,sek,cus_PBJZ9ITSVHu9E9,"300,00",2022-07-03
in_1OMy9tIo6jaRQtI8gDGjD6QH,sek,cus_PBJZUz0V1hSeN4,"550,00",2022-07-04
in_1OMyVlIo6jaRQtI8DzbgUSRa,sek,cus_PBJZx8WmYaBVWS,"250,00",2022-07-05
in_1OMy72Io6jaRQtI89u79fhBP,sek,cus_PBJZUz0V1hSeN4,"550,00",2022-07-05
in_1OMy82Io6jaRQtI8MvLRgbwq,sek,cus_PBJZUz0V1hSeN4,"400,00",2022-07-06
in_1OMyUqIo6jaRQtI8ChmLnIhR,sek,cus_PBJZ0mcbg0IMh6,"500,00",2022-07-06
in_1OMyCgIo6jaRQtI8Edw8Af4r,sek,cus_PBJZ9ITSVHu9E9,"750,00",2022-07-07
in_1OMyTHIo6jaRQtI8Fog6Vyh0,sek,cus_PBJZuwcBwFLsZD,"250,00",2022-07-07
in_1OMyUnIo6jaRQtI8AYtNKyZe,sek,cus_PBJZdcMynyxMsi,"300,00",2022-07-08
in_1OMyU1Io6jaRQtI8RhNyvlt1,sek,cus_PBJZ9ITSVHu9E9,"250,00",2022-07-10
in_1OMyAsIo6jaRQtI8f3c1NM4b,sek,cus_PBJZ9ITSVHu9E9,"550,00",2022-07-10
in_1OMydTIo6jaRQtI8l1yVB6uC,sek,cus_PBJZv60BNrMCHK,"450,00",2022-07-15
in_1OMyEZIo6jaRQtI8ZgEdjfLI,sek,cus_PBJZ9ITSVHu9E9,"600,00",2022-07-17
in_1OMxNFIo6jaRQtI8NimRjYpH,sek,cus_PBJZuwcBwFLsZD,"300,00",2022-07-21
in_1OMyC0Io6jaRQtI8sp9Tjxf7,sek,cus_PBJZ9ITSVHu9E9,"550,00",2022-07-22
in_1OMxNIIo6jaRQtI87RzKwekA,sek,cus_PBJZy1g5fHqeP7,"400,00",2022-07-23
in_1OMy5UIo6jaRQtI8XIsOv6nz,sek,cus_PBJZUz0V1hSeN4,"500,00",2022-07-24
in_1OMxMDIo6jaRQtI8nl5JSNnV,sek,cus_PBJZx8WmYaBVWS,"100,00",2022-07-24
in_1OMyUdIo6jaRQtI8fMLDmS4g,sek,cus_PBJZTcFMLxaoEX,"300,00",2022-07-25
in_1OMy7bIo6jaRQtI8JFXG9fUE,sek,cus_PBJZUz0V1hSeN4,"300,00",2022-07-26
in_1OMyeHIo6jaRQtI8psEnqD4E,sek,cus_PBJZUz0V1hSeN4,"250,00",2022-07-26
in_1OMyC4Io6jaRQtI8Fnam2oYp,sek,cus_PBJZ9ITSVHu9E9,"600,00",2022-08-04
in_1OMyAJIo6jaRQtI8u1LnInh3,sek,cus_PBJZUz0V1hSeN4,"350,00",2022-08-05
in_1OMyEVIo6jaRQtI8WI5JIq8t,sek,cus_PBJZ9ITSVHu9E9,"350,00",2022-08-09
in_1OMyDLIo6jaRQtI8R5HdB1O6,sek,cus_PBJZ9ITSVHu9E9,"550,00",2022-08-12
in_1OMyE5Io6jaRQtI8Anz0g9KZ,sek,cus_PBJZ9ITSVHu9E9,"300,00",2022-08-13
in_1OMy5zIo6jaRQtI8BfoYn8BV,sek,cus_PBJZUz0V1hSeN4,"400,00",2022-08-13
in_1OMyekIo6jaRQtI8fM06rwQM,sek,cus_PBJZNTiqbJhl8q,"450,00",2022-08-14
in_1OMy8qIo6jaRQtI8J99Bjl5c,sek,cus_PBJZUz0V1hSeN4,"400,00",2022-08-15
in_1OMy5QIo6jaRQtI8WYjsu7Xq,sek,cus_PBJZUz0V1hSeN4,"550,00",2022-08-17
in_1OMyUuIo6jaRQtI8UNl5NF2K,sek,cus_PBJZuwcBwFLsZD,"400,00",2022-08-18
in_1OMycvIo6jaRQtI8DnIM76nW,sek,cus_PBJZ0mcbg0IMh6,"350,00",2022-08-19
in_1OMxNUIo6jaRQtI8boqO86qV,sek,cus_PBJZNTiqbJhl8q,"700,00",2022-08-20
in_1OMyEqIo6jaRQtI8tRxigurp,sek,cus_PBJZ9ITSVHu9E9,"700,00",2022-08-20
in_1OMyFxIo6jaRQtI8zN5I6vCI,sek,cus_PBJZ9ITSVHu9E9,"400,00",2022-08-21
in_1OMxNdIo6jaRQtI8NebgIype,sek,cus_PBJZv60BNrMCHK,"450,00",2022-08-22
in_1OMy9TIo6jaRQtI8VyoTbjIk,sek,cus_PBJZUz0V1hSeN4,"400,00",2022-08-23
in_1OMyASIo6jaRQtI8TpqTzLj6,sek,cus_PBJZ9ITSVHu9E9,"550,00",2022-08-25
in_1OMyUAIo6jaRQtI8GeHMVB6D,sek,cus_PBJZy1g5fHqeP7,"300,00",2022-08-25
in_1OMyDoIo6jaRQtI8RM6fMVEI,sek,cus_PBJZ9ITSVHu9E9,"350,00",2022-08-30
in_1OMyAoIo6jaRQtI8mDItbp6I,sek,cus_PBJZ9ITSVHu9E9,"750,00",2022-08-30
in_1OMyT9Io6jaRQtI8WLmt6G6I,sek,cus_PBJZdcMynyxMsi,"600,00",2022-08-31
in_1OMy5vIo6jaRQtI8EnaxXoSJ,sek,cus_PBJZUz0V1hSeN4,"550,00",2022-09-03
in_1OMy6TIo6jaRQtI8jcJ7cxg4,sek,cus_PBJZUz0V1hSeN4,"400,00",2022-09-04
in_1OMyUDIo6jaRQtI8vR1g5fqS,sek,cus_PBJZy1g5fHqeP7,"550,00",2022-09-06
in_1OMy6LIo6jaRQtI8lzMNRoAL,sek,cus_PBJZUz0V1hSeN4,"300,00",2022-09-07
in_1OMyczIo6jaRQtI8jEEX3NLO,sek,cus_PBJZy1g5fHqeP7,"300,00",2022-09-07
in_1OMyf6Io6jaRQtI8vsktETIu,sek,cus_PBJZuwcBwFLsZD,"200,00",2022-09-07
in_1OMxMcIo6jaRQtI8JC0d3B1U,sek,cus_PBJZ0mcbg0IMh6,"300,00",2022-09-08
in_1OMxN7Io6jaRQtI85cvnrry2,sek,cus_PBJZUz0V1hSeN4,"100,00",2022-09-09
in_1OMy6yIo6jaRQtI8dLszLKTu,sek,cus_PBJZUz0V1hSeN4,"600,00",2022-09-09
in_1OMyFDIo6jaRQtI8NWpzTU9j,sek,cus_PBJZ9ITSVHu9E9,"550,00",2022-09-11
in_1OMxMUIo6jaRQtI8vmayN9la,sek,cus_PBJZUz0V1hSeN4,"100,00",2022-09-11
in_1OMxNbIo6jaRQtI8keKygQnl,sek,cus_PBJZ9ITSVHu9E9,"200,00",2022-09-13
in_1OMyeSIo6jaRQtI8u3Sa6NdV,sek,cus_PBJZv60BNrMCHK,"750,00",2022-09-13
in_1OMyBNIo6jaRQtI8023nIkmO,sek,cus_PBJZ9ITSVHu9E9,"550,00",2022-09-16
in_1OMxMBIo6jaRQtI8iASkSaj5,sek,cus_PBJZuwcBwFLsZD,"150,00",2022-09-18
in_1OMy5rIo6jaRQtI8K9XhA5lP,sek,cus_PBJZUz0V1hSeN4,"600,00",2022-09-18
in_1OMxJqIo6jaRQtI8btiqflnR,sek,cus_PBJZ0mcbg0IMh6,"200,00",2022-09-20
in_1OMyVtIo6jaRQtI89yZNDJI4,sek,cus_PBJZx8WmYaBVWS,"300,00",2022-09-22
in_1OMxNSIo6jaRQtI8znabDzBu,sek,cus_PBJZNTiqbJhl8q,"250,00",2022-09-23
in_1OMy6PIo6jaRQtI8YbSivKqt,sek,cus_PBJZUz0V1hSeN4,"400,00",2022-09-24
in_1OMyUaIo6jaRQtI8GeqVsEA6,sek,cus_PBJZuwcBwFLsZD,"300,00",2022-09-27
in_1OMyDxIo6jaRQtI8fBHIfuvO,sek,cus_PBJZ9ITSVHu9E9,"700,00",2022-09-29
in_1OMyehIo6jaRQtI8dVm1rZOH,sek,cus_PBJZx8WmYaBVWS,"150,00",2022-09-30
in_1OMyFjIo6jaRQtI8X54JnAK5,sek,cus_PBJZ9ITSVHu9E9,"200,00",2022-09-30
in_1OMyDgIo6jaRQtI8n5zEihJ6,sek,cus_PBJZ9ITSVHu9E9,"450,00",2022-10-03
in_1OMxN2Io6jaRQtI8Zn17OZJf,sek,cus_PBJZ9ITSVHu9E9,"200,00",2022-10-04
in_1OMye9Io6jaRQtI83uZ49KNh,sek,cus_PBJZdcMynyxMsi,"250,00",2022-10-04
in_1OMyGKIo6jaRQtI8kfhMom8C,sek,cus_PBJZ9ITSVHu9E9,"250,00",2022-10-08
